,_id1,_id2,title_cleaned,references_cleaned,capacity,colors1_for_cap,colors2_for_row,common_colors,num_common_colors
58,['666baeb89793e149fe739497'],6892ce13a79a1867093a04f8,samsung galaxy a23,samsung galaxy a23,128GB,[],"['Đen', 'Xanh']",[],0
59,['666baeb59793e149fe7393cc'],6892ce01a79a1867093a0432,realme c60,realme c60,64GB,"['Xanh', 'Đen']","['Xanh ngọc', 'Đen']",['Đen'],1
60,['666baeb69793e149fe73942a'],6892cd74a79a1867093a0298,oppo a58,oppo a58,128GB,"['Xanh', 'Đen']","['Đen', 'Xanh']","['Xanh', 'Đen']",2
61,['666baeb89793e149fe739493'],6892ce05a79a1867093a0457,xiaomi redmi 10c,xiaomi redmi 10c,128GB,[],"['Xanh dương', 'Xám']",[],0
62,"['666baeb49793e149fe7393bd', '666baeb49793e149fe7393be']",6892cd7aa79a1867093a02a8,tecno camon 30,tecno camon 30,256GB,"['Đen Trời Đêm', 'Trắng núi tuyết', 'Nâu sa mạc']","['Nâu', 'Trắng', 'Đen']",[],0
63,"['666baeb49793e149fe7393bd', '666baeb49793e149fe7393be']",6892cd7aa79a1867093a02a8,tecno camon 30,tecno camon 30,256GB,"['Đen Trời Đêm', 'Trắng núi tuyết', 'Nâu sa mạc']","['Nâu', 'Trắng', 'Đen']",[],0
64,['666baeb99793e149fe7394e4'],6892ce0aa79a1867093a048a,samsung galaxy a21s,samsung galaxy a21s,32GB,[],"['Đen', 'Xanh']",[],0
65,"['666baeb79793e149fe73944c', '666baeb79793e149fe739450']",6892cdc6a79a1867093a02f2,realme c55,realme c55,256GB,"['Vàng Nắng Mai', 'Đen Trời Đêm']","['Đen', 'Vàng']",[],0
66,['666baeb89793e149fe7394b0'],6892cdd5a79a1867093a0301,oppo a54,oppo a54,128GB,[],"['Xanh dương', 'Đen']",[],0
67,"['666baeb89793e149fe739477', '666baeb89793e149fe739478', '666baeb89793e149fe739476']",6892cdfca79a1867093a03d2,iphone 14 +,iphone 14 +,256GB,"['Blue', 'Red', 'Purple', 'Starlight', 'Midnight']","['Xanh dương', 'Vàng', 'Đỏ', 'Tím', 'Đen', 'Trắng']",[],0
68,"['666baeb89793e149fe739477', '666baeb89793e149fe739478', '666baeb89793e149fe739476']",6892cdfca79a1867093a03d2,iphone 14 +,iphone 14 +,128GB,"['Blue', 'Starlight', 'Midnight', 'Red', 'Yellow', 'Purple']","['Xanh dương', 'Vàng', 'Đỏ', 'Tím', 'Đen', 'Trắng']",[],0
69,"['666baeb89793e149fe739477', '666baeb89793e149fe739478', '666baeb89793e149fe739476']",6892cdfca79a1867093a03d2,iphone 14 +,iphone 14 +,512GB,"['Blue', 'Yellow', 'Purple', 'Starlight', 'Midnight']","['Xanh dương', 'Vàng', 'Đỏ', 'Tím', 'Đen', 'Trắng']",[],0
70,"['666baeb69793e149fe73940a', '666baeb69793e149fe739409', '666baeb69793e149fe739413']",6892cd95a79a1867093a02c6,iphone 15,iphone 15,256GB,"['Xanh Dương', 'Vàng', 'Đen', 'Xanh Lá', 'Hồng']","['Hồng', 'Xanh dương', 'Đen', 'Vàng', 'Xanh lá']","['Hồng', 'Vàng', 'Đen']",3
71,"['666baeb69793e149fe73940a', '666baeb69793e149fe739409', '666baeb69793e149fe739413']",6892cd95a79a1867093a02c6,iphone 15,iphone 15,512GB,"['Xanh Lá', 'Vàng', 'Đen', 'Hồng', 'Xanh Dương']","['Hồng', 'Xanh dương', 'Đen', 'Vàng', 'Xanh lá']","['Hồng', 'Vàng', 'Đen']",3
72,"['666baeb69793e149fe73940a', '666baeb69793e149fe739409', '666baeb69793e149fe739413']",6892cd95a79a1867093a02c6,iphone 15,iphone 15,128GB,"['Xanh Lá', 'Xanh Dương', 'Đen', 'Hồng', 'Vàng']","['Hồng', 'Xanh dương', 'Đen', 'Vàng', 'Xanh lá']","['Hồng', 'Vàng', 'Đen']",3
73,['666baeb89793e149fe7394b8'],6892ce17a79a1867093a0503,xiaomi mi 11 5g,xiaomi mi 11 5g,256GB,[],"['Xanh', 'Xám']",[],0
74,['666baeb89793e149fe739483'],6892ce0ea79a1867093a04b8,vivo y02s,vivo y02s,32GB,"['Đen Kim Sa', 'Xanh ánh kim']","['Xanh', 'Đen']",[],0
75,['666baeb59793e149fe7393f9'],6892cd65a79a1867093a0275,samsung galaxy a15,samsung galaxy a15,128GB,"['Xanh', 'Vàng', 'Đen']","['Vàng', 'Xanh', 'Đen']","['Xanh', 'Vàng', 'Đen']",3
76,['666baeb59793e149fe7393fe'],6892cd7fa79a1867093a02ac,oppo a18,oppo a18,128GB,"['Xanh', 'Đen']","['Đen', 'Xanh']","['Xanh', 'Đen']",2
77,"['666baeb89793e149fe7394b9', '666baeb99793e149fe7394c4']",6892cdf8a79a1867093a03c6,xiaomi mi 10t pro 5g,xiaomi mi 10t pro 5g,256GB,[],"['Đen', 'Bạc']",[],0
78,['666baeb89793e149fe7394b5'],6892ce1ba79a1867093a0533,samsung galaxy a10s,samsung galaxy a10s,32GB,[],"['Đen', 'Xanh']",[],0
79,['666baeb99793e149fe7394e5'],6892cdf4a79a1867093a038b,samsung galaxy a11,samsung galaxy a11,32GB,[],"['Xanh', 'Trắng', 'Đen']",[],0
80,['666baeb79793e149fe73945f'],6892cdc6a79a1867093a02f4,samsung galaxy a14 5g,samsung galaxy a14 5g,128GB,[],"['Đỏ', 'Trắng', 'Đen']",[],0
81,"['666baeb89793e149fe73948f', '666baeb89793e149fe739489']",6892ce05a79a1867093a0452,realme c35,realme c35,64GB,"['Đen', 'Xanh']","['Xanh', 'Đen']","['Xanh', 'Đen']",2
82,"['666baeb59793e149fe7393d8', '666baeb59793e149fe7393f6', '666baeb69793e149fe739426']",6892cdc0a79a1867093a02f0,realme c51,realme c51,128GB,"['Xanh', 'Đen']","['Đen', 'Xanh']","['Xanh', 'Đen']",2
83,['666baeb89793e149fe739479'],6892cdb6a79a1867093a02e2,iphone 14,iphone 14,128GB,"['Midnight', 'Blue', 'Purple', 'Red', 'Yellow', 'Starlight']","['Xanh dương', 'Đen', 'Trắng', 'Đỏ', 'Vàng', 'Tím']",[],0
84,['666baeb79793e149fe73945d'],6892ce17a79a1867093a04fd,oppo reno8 t 5g,oppo reno8 t 5g,128GB,"['Đen', 'Vàng']","['Đen', 'Vàng']","['Vàng', 'Đen']",2
85,['666baeb79793e149fe739463'],6892cdf0a79a1867093a033e,oppo a17k,oppo a17k,64GB,"['Vàng', 'Xanh']","['Vàng', 'Xanh']","['Xanh', 'Vàng']",2
86,['666baeb69793e149fe739422'],6892ce01a79a1867093a041e,xiaomi 14 ultra,xiaomi 14 ultra,512GB,"['Đen', 'Trắng']","['Đen', 'Trắng']","['Đen', 'Trắng']",2
87,['666baeb79793e149fe739460'],6892cdc0a79a1867093a02ee,vivo y02,vivo y02,32GB,[],"['Xanh', 'Đen']",[],0
88,['666baeb89793e149fe7394ae'],6892cdcba79a1867093a02fb,samsung galaxy s20 fe,samsung galaxy s20 fe,256GB,[],['Tím'],[],0
89,"['666baeb79793e149fe739468', '666baeb79793e149fe739469']",6892ce0aa79a1867093a0495,realme c33,realme c33,32GB,"['Xanh biển', 'Đen Tuyền']",['Đen'],[],0
90,['666baeb89793e149fe7394a7'],6892cddba79a1867093a030a,iphone 13 mini,iphone 13 mini,256GB,[],"['Xanh rêu', 'Đen', 'Hồng', 'Đỏ', 'Xanh', 'Trắng']",[],0
91,['666baeb89793e149fe73949d'],6892ce0aa79a1867093a0487,oppo reno7 z 5g,oppo reno7 z 5g,128GB,[],"['Đen', 'Bạc']",[],0
92,"['666baeb79793e149fe73945b', '666baeb89793e149fe7394a5']",6892cdeba79a1867093a032d,oppo a16k,oppo a16k,32GB,[],[],[],0
93,['666baeb69793e149fe739421'],6892cda0a79a1867093a02cd,xiaomi 14,xiaomi 14,256GB,"['Đen', 'Trắng', 'Xanh Lá']","['Đen', 'Trắng', 'Xanh lá']","['Đen', 'Trắng']",2
94,['666baeb99793e149fe7394de'],6892cdf8a79a1867093a03aa,samsung galaxy s20,samsung galaxy s20,128GB,[],"['Cam', 'Đen']",[],0
95,['666baeb99793e149fe7394c7'],6892cdf8a79a1867093a03bb,iphone 12 pro max,iphone 12 pro max,256GB,[],"['Xanh', 'Bạc']",[],0
